date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,12.4228,11.4148,12.6085,11.406,-9.9093,23166679,1.5876,112.2111,3.0569
2016-01-05,10.6102,11.0169,11.406,10.4687,-3.4857,30960593,2.1218,108.2998,2.9504
2016-01-06,11.0965,11.3441,11.3971,11.0258,2.9695,20315224,1.3922,111.5157,3.038
2016-01-07,11.123,10.2212,11.123,10.2123,-9.8987,6104396,0.4183,100.4772,2.7373
2016-01-08,10.5572,10.7075,10.8224,9.7791,4.7578,25258000,1.7309,105.2576,2.8675
2016-01-11,10.4511,11.7773,11.7773,10.3273,9.9917,86592743,5.9343,115.7747,3.154
2016-01-12,11.9188,12.0338,12.6881,11.7597,2.1772,95749064,6.5618,118.2953,3.2227
2016-01-13,11.4944,11.6182,12.0249,11.1849,-3.4533,65822040,4.5108,114.2102,3.1114
2016-01-14,10.8843,12.131,12.2018,10.6986,4.414,62047126,4.2521,119.2514,3.2487
2016-01-15,11.9453,11.0612,12.2725,10.9639,-8.8192,52931550,3.6274,108.7344,2.9622
2016-01-18,10.6102,10.9904,11.4856,10.345,-0.6395,41083491,2.8155,108.039,2.9433
2016-01-19,10.8489,12.0868,12.0868,10.513,9.9759,46612198,3.1944,118.8168,3.2369
2016-01-20,12.7057,12.6792,13.1567,12.4228,4.9012,113091053,7.7502,124.6403,3.3955
2016-01-21,12.4228,12.3255,13.0594,12.1133,-2.7894,91661364,6.2816,121.1636,3.3008
2016-01-22,12.467,13.2362,13.5546,12.2548,7.3888,136460230,9.3517,130.1162,3.5447
2016-01-25,13.1567,13.6164,13.9171,12.8472,2.8724,113437068,7.7739,133.8536,3.6465
2016-01-26,13.2539,12.2548,13.3512,12.2548,-10.0,90475701,6.2004,120.4683,3.2819
2016-01-27,12.1752,12.9179,13.0859,11.5828,5.4113,84951536,5.8218,126.9871,3.4595
2016-01-28,12.3963,11.627,12.6527,11.627,-9.9932,63502983,4.3519,114.2971,3.1137
2016-01-29,11.123,11.7773,12.3697,11.0346,1.2928,57171169,3.918,115.7747,3.154
2016-02-01,11.5828,11.0435,11.7066,10.6102,-6.2312,46955910,3.2179,108.5605,2.9575
2016-02-02,11.0435,11.4414,11.8304,10.9993,3.6029,41692228,2.8572,112.4718,3.064
2016-02-03,11.123,11.5828,11.8127,10.9197,1.2365,40359603,2.7659,113.8625,3.1019
2016-02-04,11.574,11.7508,12.1399,11.4944,1.4504,47194376,3.2343,115.514,3.1469
2016-02-05,11.7331,11.6093,12.0249,11.5121,-1.2039,36924298,2.5304,114.1233,3.109
