date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2021-09-08,4.5288,5.4346,5.4346,4.5288,43.9394,11447640,2.5757,71.7729,1.5776
2021-09-09,5.978,5.978,5.978,5.978,10.0,3453883,0.7771,78.9502,1.7353
2021-09-10,6.5787,6.5787,6.5787,6.5787,10.0478,7272106,1.6362,86.883,1.9097
2021-09-13,6.6836,7.2366,7.2366,6.0638,10.0,197708563,44.4844,95.5713,2.1006
2021-09-14,7.5131,7.9612,7.9612,7.4082,10.0132,74872768,16.8464,105.141,2.311
2021-09-15,8.5619,8.1042,8.7621,7.8944,1.7964,282355696,63.53,107.0297,2.3525
2021-09-16,7.2938,7.2938,7.2938,7.2938,-10.0,28186100,6.3419,96.3268,2.1172
2021-09-17,6.5978,6.7217,7.0364,6.5692,-7.8431,203178427,45.7151,88.7717,1.9512
2021-09-22,6.4834,6.1783,6.4834,6.1306,-8.0851,124382108,27.986,81.5944,1.7934
2021-09-23,6.2069,6.2164,6.3117,6.102,0.6173,81743507,18.3923,82.0981,1.8045
2021-09-24,6.1878,5.9018,6.1878,5.8827,-5.0613,77983194,17.5462,77.9428,1.7132
2021-09-27,5.7969,6.0448,6.1973,5.5013,2.4233,100626115,22.6409,79.8316,1.7547
2021-09-28,5.8636,5.8636,6.0352,5.8255,-2.9968,52086677,11.7195,77.4392,1.7021
2021-09-29,5.7778,5.9018,6.1497,5.7015,0.6504,64554724,14.5248,77.9428,1.7132
2021-09-30,5.959,5.9018,5.9685,5.7492,0.0,42706072,9.6089,77.9428,1.5335
2021-10-08,5.9113,5.835,5.9494,5.816,-1.1309,35175983,7.9146,77.0614,1.5162
2021-10-11,5.835,5.6443,5.835,5.6253,-3.268,36015700,8.1035,74.5431,1.4666
2021-10-12,5.6253,5.6062,5.6825,5.4537,-0.6757,31854347,7.1672,74.0394,1.4567
2021-10-13,5.6062,5.6062,5.6157,5.5109,0.0,21781382,4.9008,74.0394,1.4567
2021-10-14,5.6157,5.7778,5.8732,5.5967,3.0612,42516520,9.5662,76.3059,1.5013
2021-10-15,5.7588,5.6539,5.8541,5.6348,-2.1452,29893885,6.7261,74.669,1.4691
2021-10-18,5.5967,5.5776,5.6062,5.4727,-1.3491,24094947,5.4214,73.6616,1.4493
2021-10-19,5.5871,5.5967,5.6253,5.549,0.3419,17963210,4.0417,73.9135,1.4542
2021-10-20,5.5681,5.4727,5.5681,5.4632,-2.2147,26423017,5.9452,72.2765,1.422
2021-10-21,5.4823,5.3488,5.5204,5.3392,-2.2648,28641677,6.4444,70.6396,1.3898
2021-10-22,5.3011,5.1676,5.3392,5.1581,-3.3868,30019069,6.7543,68.2472,1.3428
2021-10-25,5.1295,5.1867,5.2153,5.0723,0.369,16416169,3.6936,68.499,1.3477
2021-10-26,5.1772,5.0627,5.1867,5.0437,-2.3897,19008147,4.2768,66.8621,1.3155
2021-10-27,4.996,5.2058,5.406,4.8721,2.8249,52886021,11.8994,68.7509,1.3527
2021-10-28,5.1009,4.9293,5.1676,4.9102,-5.3114,30794934,6.9289,65.0993,1.2808
2021-10-29,4.9388,4.9769,5.0055,4.9197,0.9671,14628854,3.2915,65.7288,1.2932
2021-11-01,4.9769,4.996,5.0055,4.8625,0.3831,17863783,4.0194,65.9807,1.2982
2021-11-02,4.9865,5.0913,5.1295,4.9483,1.9084,28846629,6.4905,67.2399,1.3229
2021-11-03,5.0818,5.0055,5.0913,4.9865,-1.6854,15918448,3.5817,66.1066,1.3006
2021-11-04,5.0055,5.0151,5.0627,4.9674,0.1905,13017706,2.929,66.2325,1.3031
2021-11-05,4.996,4.9674,5.0151,4.9674,-0.9506,12365384,2.7822,65.6029,1.2907
2021-11-08,5.0055,5.1009,5.1199,4.9674,2.6871,22827879,5.1363,67.3658,1.3254
2021-11-09,5.0723,5.0818,5.1486,5.0532,-0.3738,15149327,3.4086,67.1139,1.3205
2021-11-10,5.0818,5.139,5.1772,5.0627,1.1257,18276856,4.1123,67.8694,1.3353
2021-11-11,5.139,5.139,5.1581,5.1009,0.0,13845698,3.1153,67.8694,1.3353
2021-11-12,5.1295,5.0913,5.139,5.0627,-0.9276,14092156,3.1707,67.2399,1.3229
2021-11-15,5.1009,5.1199,5.139,5.0437,0.5618,15377529,3.4599,67.6176,1.3304
2021-11-16,5.1104,4.996,5.1199,4.996,-2.4209,17756438,3.9952,65.9807,1.2982
2021-11-17,4.996,5.0246,5.0341,4.9674,0.5725,11146299,2.5079,66.3584,1.3056
2021-11-18,5.0151,4.9674,5.0246,4.9579,-1.1385,13251616,2.9816,65.6029,1.2907
2021-11-19,4.9674,4.996,5.0341,4.9483,0.5758,11932458,2.6848,65.9807,1.2982
2021-11-22,4.996,4.996,5.0246,4.9674,0.0,14582808,3.2811,65.9807,1.2982
2021-11-23,4.9865,5.0341,5.0723,4.9865,0.7634,16285317,3.6642,66.4843,1.3081
2021-11-24,5.0151,5.0437,5.0437,4.9865,0.1894,12857495,2.8929,66.6103,1.3105
2021-11-25,5.0341,4.996,5.0437,4.9865,-0.9452,11706336,2.6339,65.9807,1.2982
2021-11-26,4.9865,4.9769,5.0246,4.9674,-0.3817,12374943,2.7844,65.7288,1.2932
2021-11-29,4.9388,4.9293,4.9865,4.8911,-0.9579,13880387,3.1231,65.0993,1.2808
2021-11-30,4.9388,4.9579,5.0055,4.9293,0.5803,12253556,2.7571,65.477,1.2882
2021-12-01,4.9388,4.9865,4.996,4.9197,0.5769,13432603,3.0223,65.8548,1.2957
2021-12-02,5.0055,5.4823,5.4823,4.9769,9.9426,64638333,14.5436,72.4025,1.4245
2021-12-03,5.4823,5.6443,5.8922,5.3488,2.9565,127153771,28.6096,74.5431,1.4666
2021-12-06,5.4823,5.5776,5.6157,5.3964,-1.1824,64375647,14.4845,73.6616,1.4493
2021-12-07,5.5967,6.1401,6.1401,5.4918,10.0855,129805364,29.2062,81.0908,1.5954
2021-12-08,6.1306,5.9018,6.1306,5.8255,-3.882,106585303,23.9817,77.9428,1.5335
2021-12-09,5.7969,5.7874,5.8827,5.6825,-1.9386,72926084,16.4084,76.4318,1.5038
2021-12-10,5.7301,5.8827,5.9494,5.6443,1.6474,66498231,14.9621,77.691,1.5286
2021-12-13,6.0448,5.9685,6.2355,5.8636,1.4587,96852697,21.7919,78.8242,1.5509
2021-12-14,5.8922,5.7778,5.9304,5.7683,-3.1949,58489654,13.1602,76.3059,1.5013
2021-12-15,5.7397,5.9685,6.1497,5.7015,3.3003,80450965,18.1015,78.8242,1.5509
2021-12-16,5.8446,5.835,5.9971,5.8255,-2.2364,52914956,11.9059,77.0614,1.5162
2021-12-17,5.816,5.9494,6.1878,5.7969,1.9608,75176724,16.9148,78.5724,1.5459
2021-12-20,5.9113,6.5406,6.5406,5.8922,9.9359,154490211,34.7603,86.3793,1.6995
2021-12-21,6.674,6.512,7.1317,6.3403,-0.4373,211815932,47.6586,86.0015,1.6921
2021-12-22,6.512,6.245,6.7313,6.2259,-4.0996,127596453,28.7092,82.4759,1.6227
2021-12-23,6.1687,6.0448,6.2736,5.978,-3.2061,98429493,22.1466,79.8316,1.5707
2021-12-24,5.9876,6.0066,6.1211,5.9494,-0.6309,51145675,11.5078,79.3279,1.5608
2021-12-27,5.959,5.7874,5.9685,5.7683,-3.6508,48238796,10.8537,76.4318,1.5038
2021-12-28,5.7969,5.692,5.835,5.6729,-1.6474,37789591,8.5027,75.1726,1.479
2021-12-29,5.692,5.7683,5.8541,5.6729,1.34,32414789,7.2933,76.18,1.4988
2021-12-30,5.7301,5.8636,5.9113,5.692,1.6529,39258476,8.8332,77.4392,1.5236
2021-12-31,5.8541,5.7778,5.8541,5.7683,-1.4634,26536208,5.9706,68.9282,1.4977
2022-01-04,5.7778,5.7969,5.816,5.7588,0.33,23445641,5.2753,69.1557,1.5026
2022-01-05,5.7874,5.6062,5.7969,5.6062,-3.2895,34977395,7.8699,66.8808,1.4532
2022-01-06,5.5776,5.7301,5.8064,5.5585,2.2109,27026870,6.081,68.3595,1.4853
2022-01-07,5.7111,5.7397,5.8732,5.6253,0.1664,37083176,8.3437,68.4732,1.4878
2022-01-10,5.7397,5.6825,5.7588,5.6253,-0.9967,19956485,4.4902,67.7908,1.4729
2022-01-11,5.6729,5.6825,5.7588,5.6729,0.0,19056978,4.2878,67.7908,1.4729
2022-01-12,5.6539,5.692,5.692,5.6443,0.1678,16531723,3.7196,67.9045,1.4754
2022-01-13,5.7015,5.5204,5.7015,5.5109,-3.0151,30282500,6.8136,65.8571,1.4309
2022-01-14,5.5109,5.3774,5.5585,5.3678,-2.5907,21403127,4.8157,64.151,1.3939
2022-01-17,5.3869,5.4346,5.4632,5.3869,1.0638,12892091,2.9007,64.8335,1.4087
2022-01-18,5.425,5.406,5.5013,5.3583,-0.5263,15307842,3.4443,64.4922,1.4013
2022-01-19,5.4346,5.3869,5.4537,5.3583,-0.3527,12654497,2.8473,64.2647,1.3963
2022-01-20,5.3869,5.2534,5.3869,5.2439,-2.4779,17632470,3.9673,62.6723,1.3617
2022-01-21,5.2534,5.2248,5.3106,5.1772,-0.5445,12474389,2.8067,62.3311,1.3543
2022-01-24,5.1962,5.1772,5.2344,5.1581,-0.9124,10364567,2.332,61.7624,1.342
2022-01-25,5.1676,4.9865,5.1962,4.9769,-3.6832,16159707,3.6359,59.4875,1.2925
2022-01-26,4.9769,5.0055,5.0246,4.9674,0.3824,8472447,1.9063,59.715,1.2975
2022-01-27,5.0151,4.9865,5.1295,4.9102,-0.381,14569823,3.2782,59.4875,1.2925
2022-01-28,4.9865,5.0627,5.1009,4.9293,1.5296,19233179,4.3275,60.3975,1.3123
2022-02-07,5.1581,5.282,5.3392,5.1009,4.3315,19486772,4.3845,63.0136,1.3691
2022-02-08,5.2916,5.3011,5.3202,5.2248,0.361,15572920,3.5039,63.2411,1.3741
2022-02-09,5.3011,5.425,5.5871,5.2725,2.3381,28624399,6.4405,64.7197,1.4062
2022-02-10,5.406,5.4823,5.549,5.3392,1.0545,28597614,6.4345,65.4022,1.421
2022-02-11,5.4727,5.4155,5.549,5.3869,-1.2174,21359300,4.8058,64.606,1.4037
2022-02-14,5.3488,5.4155,5.4632,5.3392,0.0,14570000,3.2783,64.606,1.4037
2022-02-15,5.3774,5.3583,5.406,5.3011,-1.0563,12695020,2.8564,63.9235,1.3889
2022-02-16,5.3774,5.425,5.4441,5.3488,1.2456,14800738,3.3302,64.7197,1.4062
