date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,5.8108,5.2674,5.8254,5.2674,-9.9964,9062899,2.2061,32.1677,2.9388
2016-01-05,5.1009,5.1009,5.3049,4.7927,-3.1621,11246416,2.7376,31.1506,2.8459
2016-01-06,5.0967,5.2466,5.2716,5.0946,2.8571,8819474,2.1469,32.0406,2.9272
2016-01-07,5.0801,4.7261,5.1196,4.722,-9.9206,2741590,0.6674,28.862,2.6368
2016-01-08,4.8573,4.7095,4.8677,4.393,-0.3524,9209416,2.2418,28.7602,2.6275
2016-01-11,4.6033,4.3305,4.7969,4.2889,-8.046,9689303,2.3586,26.4462,2.4161
2016-01-12,4.4138,4.4326,4.4659,4.2514,2.3558,8744431,2.1286,27.0692,2.473
2016-01-13,4.4513,4.2056,4.5179,4.1806,-5.1198,7333450,1.7851,25.6833,2.3464
2016-01-14,4.0807,4.4263,4.4659,4.0016,5.2475,8016004,1.9513,27.0311,2.4695
2016-01-15,4.3847,4.2514,4.4971,4.191,-3.9511,8103698,1.9726,25.9631,2.3719
2016-01-18,4.1432,4.3784,4.47,4.0974,2.9873,6624472,1.6125,26.7386,2.4428
2016-01-19,4.3722,4.597,4.6074,4.3701,4.9929,8351748,2.033,28.0737,2.5648
2016-01-20,4.57,4.6491,4.672,4.4763,1.1322,8567067,2.0854,28.3915,2.5938
2016-01-21,4.5554,4.3722,4.6803,4.3639,-5.9561,8252574,2.0089,26.7005,2.4393
2016-01-22,4.4971,4.4596,4.5179,4.3076,2.0,7960138,1.9377,27.2345,2.4881
2016-01-25,4.5471,4.4763,4.5491,4.4367,0.3735,5838160,1.4211,27.3362,2.4974
2016-01-26,4.3888,4.0287,4.4305,4.0287,-10.0,8903123,2.1672,24.6026,2.2477
2016-01-27,4.0391,3.9475,4.0932,3.7268,-2.0155,6616332,1.6106,24.1067,2.2023
2016-01-28,3.9329,3.8038,4.0203,3.7726,-3.6392,5575264,1.3571,23.2294,2.1222
2016-01-29,3.81,3.9724,4.0349,3.8059,4.4335,6176970,1.5036,24.2593,2.2163
2016-02-01,4.0099,3.9475,4.037,3.8683,-0.6289,5692485,1.3857,24.1067,2.2023
2016-02-02,3.9454,4.0849,4.1161,3.9454,3.481,5174655,1.2596,24.9459,2.279
2016-02-03,4.0182,4.0745,4.1182,3.9662,-0.2548,4267591,1.0388,24.8823,2.2732
2016-02-04,4.0911,4.1619,4.2264,4.0911,2.1461,5440195,1.3243,25.4163,2.322
2016-02-05,4.1452,4.0703,4.3347,4.0599,-2.2011,3702532,0.9013,24.8569,2.2709
2016-02-15,3.9558,4.0911,4.1515,3.91,0.5115,4905079,1.194,24.984,2.2825
2016-02-16,4.0974,4.3139,4.316,4.0974,5.4453,7802031,1.8992,26.3445,2.4068
2016-02-17,4.3056,4.3639,4.368,4.2535,1.1583,6735084,1.6395,26.6496,2.4347
2016-02-18,4.3868,4.3097,4.4326,4.3097,-1.2405,7236835,1.7616,26.3191,2.4045
2016-02-19,4.2972,4.3285,4.3722,4.2889,0.4348,4447341,1.0826,26.4335,2.4149
2016-02-22,4.4138,4.5096,4.5429,4.393,4.1847,9032586,2.1987,27.5397,2.516
2016-02-23,4.5096,4.4763,4.5929,4.4097,-0.7387,8817391,2.1463,27.3362,2.4974
2016-02-24,4.4367,4.5408,4.5554,4.3763,1.4419,9201940,2.24,27.7304,2.5334
2016-02-25,4.4971,4.0953,4.5054,4.0869,-9.812,10221975,2.4883,25.0095,2.2848
2016-02-26,4.1494,4.1869,4.2348,4.0391,2.2369,7124636,1.7343,25.5689,2.3359
2016-02-29,4.0828,3.7684,4.0974,3.7684,-9.995,10744215,2.6154,23.0133,2.1025
2016-03-01,3.7268,3.8205,3.8683,3.6456,1.3812,7608687,1.8521,23.3311,2.1315
2016-03-02,3.8059,4.0599,4.0911,3.7996,6.267,10191049,2.4807,24.7933,2.2651
2016-03-03,4.0391,4.0724,4.1619,4.0182,0.3077,10357422,2.5212,24.8696,2.272
2016-03-04,4.0349,3.8975,4.0994,3.8121,-4.2945,7996954,1.9466,23.8016,2.1745
2016-03-07,3.9412,4.0016,4.0578,3.937,2.6709,4944832,1.2037,24.4373,2.2326
2016-03-08,4.0016,4.0349,4.0495,3.8309,0.8325,7138455,1.7377,24.6407,2.2511
2016-03-09,3.9141,3.9246,3.9787,3.8954,-2.7348,3836790,0.934,23.9669,2.1896
2016-03-10,3.9454,3.8621,3.9704,3.8579,-1.5915,3177313,0.7734,23.5854,2.1547
2016-03-11,3.81,3.8538,3.9017,3.8059,-0.2156,3047410,0.7418,23.5346,2.1501
2016-03-14,3.9141,4.037,4.0932,3.9037,4.7542,6865981,1.6713,24.6535,2.2523
2016-03-15,4.0287,4.0349,4.1161,3.9995,-0.0516,5142986,1.2519,24.6407,2.2511
2016-03-16,4.0599,3.9516,4.1015,3.9246,-2.064,5080649,1.2367,24.1322,2.2047
2016-03-17,3.987,4.1619,4.1619,3.962,5.3214,8981594,2.1863,25.4163,2.322
2016-03-18,4.1619,4.3035,4.3576,4.1557,3.4017,13253238,3.2261,26.2809,2.401
2016-03-21,4.368,4.3847,4.5096,4.3409,1.8868,10782310,2.6247,26.7768,2.4463
2016-03-22,4.3514,4.3868,4.4305,4.316,0.0475,8503162,2.0699,26.7895,2.4474
2016-03-23,4.3722,4.5367,4.6574,4.3472,3.4172,14915993,3.6309,27.7049,2.5311
2016-03-24,4.5075,4.7011,4.8614,4.4284,3.6255,18132335,4.4138,28.7094,2.6228
2016-03-25,4.6637,4.8219,4.9031,4.6449,2.5686,18530220,4.5107,29.4468,2.6902
2016-03-28,4.8719,5.13,5.3049,4.8219,6.3903,35273058,8.5862,31.3286,2.8621
2016-03-29,5.028,4.7261,5.0863,4.6241,-7.8734,22976243,5.5929,28.862,2.6368
2016-03-30,4.8323,4.876,4.951,4.647,3.1718,30233428,7.3595,29.7774,2.7204
2016-03-31,4.8406,4.9572,5.0343,4.8344,1.6652,22735697,5.5344,30.2733,2.6808
2016-04-01,4.9135,5.1384,5.1384,4.8823,3.6539,18551942,4.516,31.3794,2.7787
2016-04-05,5.205,5.1467,5.2404,5.0738,0.1621,19985360,4.8649,31.4303,2.7832
2016-04-06,5.1134,5.1946,5.23,5.0343,0.9304,17028976,4.1452,31.7227,2.8091
2016-04-07,5.1966,5.003,5.2154,5.003,-3.6874,12921643,3.1454,30.553,2.7056
