date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2019-06-26,2.1406,2.5687,2.5687,2.1406,44.1177,3440873,0.1845,28.0376,2.2101
2019-06-27,2.8221,2.8221,2.8221,2.8221,9.8639,4403736,0.2361,30.8032,2.4281
2019-06-28,3.1017,3.1017,3.1017,3.1017,9.9071,3669617,0.1968,33.855,2.6686
2019-07-01,3.4163,3.4163,3.4163,3.4163,10.1408,3225119,0.1729,37.2881,2.2167
2019-07-02,3.757,3.757,3.757,3.757,9.9744,63407083,3.3997,41.0074,2.4378
2019-07-03,3.9318,4.0191,4.1065,3.792,6.9767,1166311888,62.5333,43.8684,2.6079
2019-07-04,3.8968,3.6958,3.9143,3.6696,-8.0435,680355376,36.4781,40.3399,2.3981
2019-07-05,3.6347,3.6784,3.8182,3.5211,-0.4728,494989216,26.5395,40.1491,2.3868
2019-07-08,3.6085,3.7657,3.8444,3.5473,2.3753,489458352,26.2429,41.1028,2.4435
2019-07-09,3.6871,3.6259,3.7221,3.591,-3.7123,304942144,16.3499,39.5769,2.3528
2019-07-10,3.6434,3.5823,3.6609,3.5386,-1.2048,253298239,13.5809,39.1001,2.3244
2019-07-11,3.6434,3.5561,3.7046,3.5386,-0.7317,282177792,15.1293,38.814,2.3074
2019-07-12,3.4512,3.3551,3.4687,3.3027,-5.6511,412483600,22.1158,36.6206,2.177
2019-07-15,3.3376,3.3726,3.3988,3.2852,0.5208,208748361,11.1923,36.8113,2.1884
2019-07-16,3.3638,3.39,3.4599,3.3551,0.5181,199530779,10.6981,37.002,2.1997
2019-07-17,3.3464,3.2939,3.3464,3.2852,-2.8351,232030950,12.4406,35.953,2.1373
2019-07-18,3.259,3.1716,3.2765,3.1629,-3.7135,209006366,11.2061,34.6179,2.058
2019-07-19,3.1978,3.3027,3.4337,3.1716,4.1322,325449520,17.4494,36.0484,2.143
2019-07-22,3.2415,3.1629,3.2502,3.1541,-4.2328,197487657,10.5886,34.5225,2.0523
2019-07-23,3.1804,3.259,3.2852,3.1541,3.0387,166016262,8.9012,35.5715,2.1147
2019-07-24,3.2502,3.2502,3.3201,3.2328,-0.2681,205590809,11.023,35.4762,2.109
2019-07-25,3.2153,3.224,3.2502,3.1978,-0.8065,120146655,6.4418,35.1901,2.092
2019-07-26,3.2066,3.1978,3.2153,3.1716,-0.813,89358820,4.7911,34.904,2.075
2019-07-29,3.1978,3.2066,3.2415,3.1716,0.2732,68615309,3.6789,34.9994,2.0806
2019-07-30,3.2066,3.2066,3.2415,3.1891,0.0,94916804,5.0891,34.9994,2.0806
2019-07-31,3.1891,3.1629,3.1978,3.1629,-1.3624,90845563,4.8708,34.5225,2.0523
2019-08-01,3.1454,3.093,3.1541,3.0755,-2.2099,123548512,6.6242,33.7596,2.0069
2019-08-02,3.0143,2.9881,3.0231,2.9619,-3.3898,149137445,7.9962,32.6152,1.9389
