date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,3.9691,3.5563,3.9929,3.5563,-10.0402,52113085,2.7567,-5.0902,1.6175
2016-01-05,3.334,3.4928,3.6515,3.334,-1.7857,54732741,2.8953,-4.9993,1.5886
2016-01-06,3.5007,3.8421,3.8421,3.4769,10.0,79789779,4.2207,-5.4992,1.7475
2016-01-07,3.8421,3.4928,3.8897,3.469,-9.0909,34895251,1.8459,-4.9993,1.5886
2016-01-08,3.6515,3.8421,3.8421,3.5166,10.0,81229229,4.2969,-5.4992,1.7475
2016-01-11,3.9611,3.8976,4.1755,3.8341,1.4463,174435968,9.2274,-5.5787,1.7727
2016-01-12,3.8262,4.2231,4.2866,3.5484,8.3503,194422783,10.2846,-6.0446,1.9208
2016-01-13,4.0881,4.1517,4.493,4.0564,-1.6917,180092844,9.5266,-5.9423,1.8883
2016-01-14,3.9691,4.5644,4.5644,3.8897,9.9426,162433527,8.5925,-6.5331,2.076
2016-01-15,4.5724,4.4533,4.8026,4.2707,-2.4348,244437214,12.9303,-6.3741,2.0255
2016-01-18,4.2628,4.4295,4.493,4.1278,-0.5348,121506473,6.4275,-6.34,2.0146
2016-01-19,4.366,4.4136,4.5724,4.3263,-0.3584,132716661,7.0205,-6.3172,2.0074
2016-01-20,4.3263,4.1675,4.3819,4.0643,-5.5755,133696195,7.0723,-5.965,1.8955
2016-01-21,4.0881,3.977,4.3104,3.9691,-4.5714,104794991,5.5435,-5.6923,1.8089
2016-01-22,4.1675,4.0802,4.2469,3.985,2.5948,91997484,4.8665,-5.84,1.8558
2016-01-25,4.1596,4.4136,4.4851,4.1278,8.1712,131813069,6.9727,-6.3172,2.0074
2016-01-26,4.2866,4.0802,4.4216,4.0167,-7.554,83397257,4.4116,-5.84,1.8558
2016-01-27,4.0881,4.4851,4.4851,4.0723,9.9222,193633226,10.2429,-6.4195,2.0399
2016-01-28,4.366,4.5009,4.62,4.3025,0.354,190165435,10.0594,-6.4422,2.0471
2016-01-29,4.366,4.4692,4.5883,4.112,-0.7055,139801389,7.3953,-6.3968,2.0327
