date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,19.4815,17.6974,19.6284,17.6905,-9.8381,3254244,1.4089,33.0061,4.7284
2016-01-05,17.1232,17.6222,18.3058,16.9181,-0.4249,6060423,2.6239,32.8658,4.7083
2016-01-06,17.6427,17.7213,17.94,17.171,0.5624,3699322,1.6016,33.0507,4.7348
2016-01-07,17.089,16.0842,17.2599,16.0603,-9.2382,1229115,0.5322,29.9974,4.2974
2016-01-08,16.2175,16.59,16.8498,15.3801,3.1449,6362077,2.7545,30.9408,4.4326
2016-01-11,16.3268,15.9885,16.9523,15.8415,-3.6259,4167526,1.8044,29.8189,4.2718
2016-01-12,15.7185,16.1149,16.4738,15.7185,0.7909,2755481,1.193,30.0548,4.3056
2016-01-13,16.3371,15.9543,16.7336,15.9475,-0.9968,2662395,1.1527,29.7552,4.2627
2016-01-14,15.5134,16.5969,16.6652,15.3699,4.0274,3267286,1.4146,30.9536,4.4344
2016-01-15,16.4055,16.1081,16.7062,15.9133,-2.9448,3859895,1.6712,30.042,4.3038
2016-01-18,15.8928,16.0739,16.2927,15.8278,-0.2122,3175599,1.3749,29.9783,4.2947
2016-01-19,16.0603,16.3781,16.4943,15.927,1.8924,4113152,1.7808,30.5456,4.3759
2016-01-20,16.2687,15.6023,16.4567,15.3801,-4.7371,5891995,2.551,29.0986,4.1686
2016-01-21,15.2092,15.3186,15.7151,15.0383,-1.8182,3552320,1.538,28.5696,4.0929
2016-01-22,15.3083,14.905,15.4177,14.4881,-2.6997,4373489,1.8935,27.7983,3.9824
2016-01-25,14.9563,14.6111,15.0793,14.4915,-1.972,3279422,1.4198,27.2501,3.9038
2016-01-26,14.3719,13.1517,14.4915,13.1517,-9.9883,4504689,1.9503,24.5283,3.5139
2016-01-27,12.9877,13.5003,13.5003,12.1059,2.6507,6275763,2.7171,25.1785,3.607
2016-01-28,12.9945,12.7382,13.3294,12.6117,-5.6456,3507478,1.5186,23.757,3.4034
2016-01-29,12.8133,13.432,13.4935,12.8031,5.4467,2908686,1.2593,25.051,3.5888
2016-02-01,13.5345,13.8011,13.9754,13.3499,2.7481,3218804,1.3936,25.7394,3.6874
2016-02-02,13.8729,14.0779,14.2112,13.7396,2.0059,1804167,0.7811,26.2557,3.7614
2016-02-03,13.8763,13.9105,14.0403,13.6336,-1.1896,1498172,0.6486,25.9434,3.7166
2016-02-04,13.8592,14.5428,14.635,13.8592,4.5455,2463646,1.0667,27.1226,3.8856
2016-02-05,14.5428,14.1873,14.6555,14.1258,-2.4442,1467696,0.6354,26.4597,3.7906
2016-02-15,13.6678,14.2625,14.4573,13.5003,0.53,1137496,0.4925,26.5999,3.8107
2016-02-16,14.3377,14.7205,14.8879,14.2625,3.2111,1924121,0.8331,27.4541,3.933
2016-02-17,14.7205,14.6829,14.8914,14.3548,-0.2554,1714410,0.7423,27.384,3.923
2016-02-18,14.7888,14.6897,15.3288,14.594,0.0466,2988985,1.2941,27.3967,3.9248
2016-02-19,14.6282,14.6179,14.6966,14.4744,-0.4886,1472345,0.6375,27.2628,3.9057
2016-02-22,14.6829,14.8367,15.1204,14.6829,1.4964,3159390,1.3679,27.6708,3.9641
2016-02-23,14.8435,14.6897,14.929,14.5325,-0.9906,2167453,0.9384,27.3967,3.9248
2016-02-24,14.8674,15.0315,15.1887,14.864,2.3267,3143139,1.3608,28.0341,4.0161
2016-02-25,14.8948,13.8045,15.0315,13.6712,-8.1628,2855467,1.2363,25.7458,3.6883
2016-02-26,13.9446,14.0506,14.3411,13.8353,1.7826,2170035,0.9395,26.2047,3.7541
2016-02-29,13.9959,13.3704,14.0472,13.015,-4.8407,3007930,1.3023,24.9362,3.5723
2016-03-01,13.2269,13.4832,13.5653,13.1585,0.8436,1963401,0.8501,25.1466,3.6025
2016-03-02,13.5311,14.0267,14.0745,13.3841,4.0304,1857188,0.8041,26.1601,3.7477
2016-03-03,13.9139,14.1941,14.3548,13.9139,1.194,1947588,0.8432,26.4724,3.7924
2016-03-04,14.1258,13.9822,14.2967,13.8592,-1.4929,1760765,0.7623,26.0772,3.7358
2016-03-07,14.0813,14.0574,14.3172,13.9446,0.5378,1080605,0.4679,26.2175,3.7559
2016-03-08,14.013,14.1121,14.2351,13.6712,0.389,1143241,0.495,26.3194,3.7705
2016-03-09,13.8455,13.7806,14.1121,13.6883,-2.3492,1350356,0.5846,25.7011,3.6819
2016-03-10,13.7806,13.8113,13.9002,13.5003,0.2232,1260101,0.5456,25.7585,3.6901
2016-03-11,13.6678,14.0608,14.3206,13.4456,1.8065,1781261,0.7712,26.2238,3.7568
2016-03-14,14.054,14.3138,14.6453,13.8831,1.7987,2612276,1.131,26.6955,3.8244
2016-03-15,14.2522,13.972,14.4026,13.9105,-2.3878,1934994,0.8378,26.0581,3.7331
2016-03-16,13.9241,13.9344,14.177,13.6746,-0.2691,1703379,0.7375,25.988,3.723
2016-03-17,13.9446,14.1873,14.242,13.8421,1.8151,3211901,1.3906,26.4597,3.7906
2016-03-18,14.2864,14.5257,14.6248,14.1941,2.385,4621884,2.0011,27.0907,3.881
2016-03-21,14.5598,15.0212,15.1238,14.5598,3.4118,4808981,2.0821,28.015,4.0134
2016-03-22,14.8845,15.0383,15.1716,14.7136,0.1138,2988347,1.2938,28.0469,4.018
2016-03-23,14.9016,14.8435,15.0964,14.6487,-1.2955,2874880,1.2447,27.6835,3.9659
2016-03-24,14.8128,14.7649,14.8128,14.5735,-0.5296,2344044,1.0149,27.5369,3.9449
2016-03-25,14.6282,15.0725,15.1511,14.5872,2.0833,3155402,1.3662,28.1106,4.0271
2016-03-28,15.2058,14.9153,15.3323,14.8298,-1.0431,2168303,0.9388,27.8174,3.9851
2016-03-29,14.9255,14.7478,14.929,14.5974,-1.1228,1471199,0.637,27.5051,3.9404
2016-03-30,14.8504,15.1443,15.1477,14.8504,2.6883,2111108,0.914,28.2445,4.0463
2016-03-31,15.2126,15.363,15.4451,15.0759,1.4444,2651972,1.1482,28.6524,3.8944
2016-04-01,15.2434,15.3801,15.3801,15.0964,0.1112,1819863,0.7879,28.6843,3.8987
2016-04-05,15.3596,15.657,15.8552,15.1443,1.8,2071070,0.8809,29.2006,3.9689
2016-04-06,15.6809,15.6125,15.6809,15.4895,-0.2838,1343583,0.5715,29.1178,3.9576
2016-04-07,15.6911,15.199,15.698,15.1853,-2.6489,1815765,0.7723,28.3465,3.8528
2016-04-08,15.158,15.1101,15.3835,14.823,-0.5847,2048348,0.8713,28.1807,3.8303
2016-04-11,15.175,16.1286,16.2346,15.175,6.7406,6632185,2.821,30.0803,4.0885
2016-04-12,16.2858,16.3576,16.819,16.1252,1.4198,8362400,3.5569,30.5074,4.1465
2016-04-13,16.3508,16.4601,16.5285,16.1662,0.6268,4625111,1.9673,30.6986,4.1725
2016-04-14,16.467,16.3713,16.4772,16.2414,-0.5399,2115766,0.8999,30.5329,4.15
2016-04-15,16.4055,16.0603,16.4328,15.9953,-1.8998,2336555,0.9938,29.9528,4.0711
2016-04-18,16.1936,15.674,16.1936,15.5442,-2.4048,1788499,0.7607,29.2325,3.9732
2016-04-19,15.7287,15.8039,15.8791,15.6125,0.8286,1295859,0.5512,29.4747,4.0062
2016-04-20,15.7253,14.8504,15.9441,14.6419,-6.0337,2914965,1.2399,27.6963,3.7644
