date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2019-03-01,4.4745,5.3662,5.3662,4.4745,44.0171,441427,0.0993,12.6846,1.5014
2019-03-04,5.8996,5.8996,5.8996,5.8996,9.9407,465168,0.1047,13.9455,1.6506
2019-03-05,6.4888,6.4888,6.4888,6.4888,9.9865,1035085,0.2329,15.3382,1.8155
2019-03-06,7.1417,7.1417,7.1417,7.1417,10.0614,1831815,0.4122,16.8814,1.9981
2019-03-07,7.8582,7.8582,7.8582,7.8582,10.0334,1991695,0.4481,18.5752,2.1986
2019-03-08,8.6465,8.6465,8.6465,8.6465,10.0304,23355708,5.255,20.4384,2.4192
2019-03-11,8.6863,9.5143,9.5143,8.1449,10.0368,310756688,69.9203,22.4898,2.662
2019-03-12,9.0366,9.6178,10.1831,8.9171,1.0879,249572951,56.1539,22.7344,2.6909
2019-03-13,9.4347,9.1162,9.7611,9.0366,-5.2152,157769544,35.4981,21.5488,2.5506
2019-03-14,8.9331,8.2802,9.2038,8.2086,-9.1703,143947302,32.3881,19.5727,2.3167
2019-03-15,8.2722,8.1051,8.4394,7.9299,-2.1154,104890103,23.6003,19.1586,2.2677
2019-03-18,8.0414,8.9171,8.9171,7.8264,10.0196,111253623,25.0321,21.0783,2.4949
2019-03-19,9.3471,9.1719,9.7929,9.0127,2.8571,221965744,49.9423,21.6805,2.5662
2019-03-20,8.9729,10.0875,10.0875,8.9729,9.9826,215468964,48.4805,23.8448,2.8223
2019-03-21,10.7484,9.8566,11.0987,9.5541,-2.2889,152069453,34.2156,23.299,2.7577
2019-03-22,10.3264,9.6735,10.3503,9.3949,-1.8578,224861366,50.5938,22.8662,2.7065
2019-03-25,9.0605,9.2197,9.4347,8.8216,-4.6914,154449377,34.7511,21.7934,2.5795
2019-03-26,9.0764,9.1958,9.355,8.8614,-0.2591,119827740,26.9612,21.737,2.5729
2019-03-27,9.1321,9.2197,9.4665,8.9808,0.2597,114830950,25.837,21.7934,2.5795
2019-03-28,8.9968,8.5031,8.9968,8.4156,-7.772,97231665,21.8771,20.0996,2.3791
2019-03-29,8.4394,9.355,9.355,8.3678,10.0187,180186348,40.5419,22.1134,2.6174
2019-04-01,9.5541,9.8964,10.2786,9.355,5.7872,208926510,47.0085,23.3931,2.4471
2019-04-02,9.7213,9.6974,10.2308,9.6496,-2.0113,164627206,37.0411,22.9226,2.3979
2019-04-03,9.3869,9.5461,9.6337,9.3152,-1.5599,97648080,21.9708,22.565,2.3605
2019-04-04,9.5859,9.5143,9.9363,9.4426,-0.3336,112718713,25.3617,22.4898,2.3526
2019-04-08,9.3949,9.2356,9.7929,9.1162,-2.9289,97326472,21.8985,21.8311,2.2837
2019-04-09,9.0843,9.0843,9.1799,8.8455,-1.6379,63674855,14.3268,21.4735,2.2463
2019-04-10,9.0127,9.0764,9.2834,8.9251,-0.0876,55855478,12.5675,21.4547,2.2444
2019-04-11,8.957,8.7738,9.0525,8.7579,-3.3333,53871933,12.1212,20.7395,2.1695
2019-04-12,8.8455,8.8535,8.9012,8.6863,0.9074,33358217,7.5056,20.9277,2.1892
2019-04-15,8.957,8.8057,9.148,8.7579,-0.5396,47659984,10.7235,20.8148,2.1774
2019-04-16,8.6544,8.9092,9.0207,8.4713,1.1754,63642935,14.3197,21.0595,2.203
2019-04-17,8.7818,8.7659,8.9012,8.7181,-1.6086,46783678,10.5263,20.7207,2.1676
2019-04-18,8.8216,8.6544,8.8694,8.6385,-1.2716,39684879,8.9291,20.4572,2.14
2019-04-19,8.5987,8.5987,8.734,8.527,-0.644,31978366,7.1951,20.3255,2.1262
2019-04-22,8.6066,8.4315,8.6465,8.4235,-1.9444,34244599,7.705,19.9303,2.0849
2019-04-23,8.32,8.3041,8.4633,8.2563,-1.5109,31860063,7.1685,19.6291,2.0534
2019-04-24,8.4156,8.3678,8.4394,8.2882,0.767,22340679,5.0267,19.7797,2.0691
2019-04-25,8.32,8.2563,8.7022,8.2006,-1.3321,48402225,10.8905,19.5162,2.0416
2019-04-26,8.121,7.9617,8.1687,7.9538,-3.568,35108160,7.8993,18.8199,1.9687
2019-04-29,7.9538,7.3805,8.0334,7.2691,-7.3,42570995,9.5785,17.446,1.825
2019-04-30,7.3885,7.3248,7.4681,7.2691,-0.7551,27042420,6.0845,17.3143,1.8112
2019-05-06,7.0621,7.4602,7.7707,6.8073,1.8478,58614934,13.1884,17.6342,1.8447
2019-05-07,7.3646,7.5716,7.6512,7.1895,1.4941,55411580,12.4676,17.8977,1.8723
2019-05-08,7.3248,7.277,7.5079,7.2133,-3.8906,34261215,7.7088,17.2014,1.7994
2019-05-09,7.2133,7.1178,7.3009,7.1019,-2.1882,22456235,5.0527,16.825,1.76
2019-05-10,7.2452,7.3009,7.3885,6.9586,2.5727,35604167,8.0109,17.2578,1.8053
2019-05-13,7.1895,7.1815,7.2611,7.1496,-1.6358,17905284,4.0287,16.9755,1.7758
2019-05-14,7.0939,7.2611,7.3407,7.0859,1.1086,27134685,6.1053,17.1637,1.7955
2019-05-15,7.2611,7.285,7.3009,7.2213,0.3289,25128347,5.6539,17.2202,1.8014
2019-05-16,7.293,7.277,7.3168,7.2452,-0.1093,19998417,4.4996,17.2014,1.7994
2019-05-17,7.285,6.8869,7.3009,6.8153,-5.3611,33630005,7.5668,16.2792,1.703
2019-05-20,6.8153,6.5605,6.8153,6.4649,-4.7399,23414483,5.2683,15.5076,1.6222
2019-05-21,6.5525,6.6401,6.656,6.5525,1.2136,16446860,3.7005,15.6958,1.6419
2019-05-22,6.656,6.5047,6.664,6.4092,-2.0384,18464192,4.1544,15.3758,1.6085
2019-05-23,6.4331,6.3057,6.4649,6.2898,-3.06,19646318,4.4204,14.9054,1.5592
2019-05-24,6.3057,6.4649,6.6162,6.2739,2.5252,28875184,6.4969,15.2817,1.5986
2019-05-27,6.3694,6.5127,6.5605,6.2898,0.7389,25028260,5.6314,15.3947,1.6104
2019-05-28,6.4729,6.441,6.5286,6.4251,-1.1002,17903444,4.0283,15.2253,1.5927
2019-05-29,6.449,6.6799,6.8391,6.449,3.7083,45762468,10.2966,15.7899,1.6518
2019-05-30,6.5923,6.5923,6.6719,6.4968,-1.3111,25614792,5.7633,15.5829,1.6301
2019-05-31,6.6003,6.7038,6.8312,6.5764,1.6908,38892898,8.7509,15.8463,1.6577
2019-06-03,6.6879,6.6481,6.7675,6.5446,-0.8314,25123154,5.6527,15.7146,1.6439
2019-06-04,6.5923,6.3933,6.6082,6.3774,-3.8323,22966164,5.1674,15.1124,1.5809
2019-06-05,6.4888,6.3375,6.5207,6.3296,-0.8717,17608277,3.9619,14.9806,1.5671
2019-06-06,6.3057,6.1863,6.3296,6.1305,-2.3869,20493296,4.611,14.6231,1.5297
2019-06-10,6.2739,6.2818,6.3375,6.2022,1.5444,13228977,2.9765,14.8489,1.5533
2019-06-11,6.2739,6.6719,6.7516,6.25,6.2104,38669349,8.7006,15.7711,1.6498
2019-06-12,6.6242,6.5605,6.664,6.5446,-1.6706,24018221,5.4041,15.5076,1.6222
2019-06-13,6.5764,6.5844,6.6719,6.5366,0.3641,18175918,4.0896,15.564,1.6281
2019-06-14,6.5684,6.4172,6.6321,6.4092,-2.5393,17865200,4.0197,15.1688,1.5868
2019-06-17,6.4888,6.457,6.6242,6.441,0.6203,14209354,3.1971,15.2629,1.5966
2019-06-18,6.4251,6.4251,6.4649,6.3455,-0.4932,11428535,2.5714,15.1876,1.5888
2019-06-19,6.5844,6.457,6.656,6.457,0.4957,19279752,4.3379,15.2629,1.5966
2019-06-20,6.4649,6.8949,6.9506,6.4649,6.7818,68515123,15.4159,16.298,1.7049
2019-06-21,6.863,6.863,6.9267,6.7754,-0.4619,45032081,10.1322,16.2227,1.697
2019-06-24,6.8232,6.8153,6.8949,6.7675,-0.696,21549596,4.8487,16.1098,1.6852
2019-06-25,6.8153,6.7516,6.8312,6.6082,-0.9346,23370658,5.2584,15.9593,1.6695
2019-06-26,6.7191,6.6461,6.7191,6.6298,-1.5625,15338447,3.4512,15.4135,1.6124
2019-06-27,6.6866,6.6542,6.7678,6.6461,0.1221,20093258,4.521,15.4323,1.6144
2019-06-28,6.6461,6.5406,6.6542,6.4919,-1.7073,18599177,4.1848,15.1688,1.5868
2019-07-01,6.6866,6.6704,6.7191,6.6298,1.9851,22468741,5.0555,15.4699,1.6177
2019-07-02,6.6866,6.6623,6.711,6.6136,-0.1217,17041395,3.8343,15.4511,1.6157
2019-07-03,6.6461,6.6136,6.6623,6.5893,-0.7308,11883180,2.6737,15.3382,1.6039
2019-07-04,6.6136,6.6542,6.6866,6.6055,0.6135,14864577,3.3445,15.4323,1.6138
2019-07-05,6.6379,6.6461,6.6704,6.6055,-0.122,10139599,2.2814,15.4135,1.6118
2019-07-08,6.6379,6.3377,6.6379,6.3377,-4.6398,22637924,5.0935,14.6983,1.537
2019-07-09,6.3296,6.3296,6.3783,6.2647,-0.128,11938423,2.6861,14.6795,1.5351
2019-07-10,6.3296,6.2079,6.3702,6.1835,-1.9231,11094918,2.4964,14.3972,1.5055
2019-07-11,6.2322,6.1592,6.2971,6.1429,-0.7843,11462302,2.579,14.2843,1.4937
2019-07-12,6.1673,6.2403,6.3377,6.0943,1.3175,15480957,3.4832,14.4725,1.5134
2019-07-15,6.1997,6.2484,6.3052,6.078,0.13,14004261,3.151,14.4913,1.5154
2019-07-16,6.2241,6.2484,6.2728,6.2241,0.0,7622600,1.7151,14.4913,1.5154
2019-07-17,6.1754,6.1916,6.2484,6.1754,-0.9091,9447565,2.1257,14.3596,1.5016
