date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,5.6566,5.0823,5.6566,5.0823,-10.0154,21619898,1.4289,38.534,2.9196
2016-01-05,4.7864,4.9517,5.1693,4.6385,-2.5685,30624979,2.024,37.5443,2.8446
2016-01-06,4.9866,5.0562,5.0823,4.9256,2.109,22737387,1.5027,38.3361,2.9046
2016-01-07,5.0214,4.5601,5.0214,4.5514,-9.8107,8095217,0.535,34.575,2.6197
2016-01-08,4.7777,4.6733,4.7951,4.3513,2.4809,29058850,1.9205,35.4328,2.6847
2016-01-11,4.5862,4.4296,4.7777,4.4209,-5.2141,29827365,1.9713,33.5853,2.5447
2016-01-12,4.4905,4.5166,4.5514,4.3948,1.9646,20630962,1.3635,34.2451,2.5947
2016-01-13,4.5166,4.5514,4.5949,4.4557,0.7707,17193211,1.1363,34.509,2.6147
2016-01-14,4.4122,4.6733,4.7168,4.3513,2.6769,21246542,1.4042,35.4328,2.6847
2016-01-15,4.6123,4.4731,4.682,4.4383,-4.2831,17882097,1.1818,33.9152,2.5697
2016-01-18,4.3861,4.5079,4.5688,4.3861,0.7782,11176714,0.7387,34.1791,2.5897
2016-01-19,4.5253,4.6472,4.6733,4.4644,3.0888,21283888,1.4066,35.2349,2.6697
2016-01-20,4.5862,4.5862,4.6559,4.5166,-1.3109,18521930,1.2241,34.773,2.6347
2016-01-21,4.534,4.4296,4.6036,4.4209,-3.4156,16768093,1.1082,33.5853,2.5447
2016-01-22,4.4731,4.4731,4.4992,4.3774,0.9823,14353852,0.9486,33.9152,2.5697
2016-01-25,4.5079,4.5166,4.6036,4.4731,0.9728,11247915,0.7434,34.2451,2.5947
2016-01-26,4.4992,4.1772,4.4992,4.125,-7.5144,25648277,1.6951,31.6718,2.3997
2016-01-27,4.2555,4.0641,4.2555,3.8291,-2.7083,19525175,1.2904,30.814,2.3347
2016-01-28,4.0206,3.8639,4.0554,3.8291,-4.9251,12502940,0.8263,29.2964,2.2197
2016-01-29,3.8465,3.9684,4.038,3.8291,2.7027,13781182,0.9108,30.0882,2.2797
2016-02-01,3.9684,3.89,3.9684,3.8378,-1.9737,10883115,0.7193,29.4943,2.2347
2016-02-02,3.89,4.0119,4.0728,3.89,3.132,11721636,0.7747,30.4181,2.3047
2016-02-03,3.9684,4.0467,4.0641,3.9422,0.8677,11549906,0.7633,30.682,2.3247
