date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,51.2253,46.5171,51.4607,44.7468,-6.3152,6737327,1.7159,66.6288,4.4467
2016-01-05,44.8221,46.9879,48.1178,44.163,1.0121,8623972,2.1964,67.3031,4.4917
2016-01-06,47.1197,47.6094,48.0049,46.5171,1.3226,6467823,1.6472,68.1933,4.5511
2016-01-07,45.3023,43.1648,46.8937,42.8917,-9.3354,1500635,0.3822,61.8272,4.1263
2016-01-08,43.8428,42.9106,44.5396,39.0781,-0.589,7046228,1.7945,61.463,4.102
2016-01-11,42.0443,38.6167,42.2797,38.6167,-10.0066,8072635,2.0559,55.3127,3.6915
2016-01-12,38.6638,37.3549,39.4077,35.7824,-3.2675,6807362,1.7337,53.5053,3.5709
2016-01-13,36.7805,36.3568,38.1553,35.8577,-2.672,4452681,1.134,52.0756,3.4755
2016-01-14,34.8407,39.2382,39.5489,34.4641,7.9254,8692888,2.2139,56.2028,3.7509
2016-01-15,39.0781,39.2853,41.1497,38.6073,0.12,9272663,2.3616,56.2703,3.7554
2016-01-18,37.854,40.952,41.0555,37.6845,4.2426,6705388,1.7077,58.6576,3.9147
2016-01-19,40.2363,42.2608,42.8447,39.596,3.1961,9591906,2.4429,60.5324,4.0399
2016-01-20,41.7994,40.8295,42.8541,40.7542,-3.3868,7142323,1.819,58.4822,3.903
2016-01-21,39.8314,38.5884,40.6977,37.854,-5.4889,7961846,2.0277,55.2722,3.6888
2016-01-22,39.0875,39.3041,39.935,37.788,1.8546,5818786,1.4819,56.2973,3.7572
2016-01-25,39.5489,39.7467,41.0838,39.4642,1.126,5143902,1.31,56.9312,3.7995
2016-01-26,39.4077,36.7899,40.4152,36.3285,-7.439,6380635,1.625,52.6961,3.5169
2016-01-27,37.1854,37.0159,37.289,33.5224,0.6143,9187898,2.34,53.0198,3.5385
2016-01-28,35.8294,35.5187,37.0065,34.1816,-4.0448,5370123,1.3677,50.8752,3.3954
2016-01-29,35.4528,36.8558,37.6562,34.3699,3.7646,5984028,1.524,52.7905,3.5232
2016-02-01,36.9123,35.6976,37.0065,34.6524,-3.1426,5716995,1.456,51.1315,3.4125
2016-02-02,35.9613,37.5903,38.9651,35.8294,5.302,6678907,1.701,53.8425,3.5934
2016-02-03,36.8652,38.9839,39.4548,36.724,3.7074,6502439,1.656,55.8387,3.7266
2016-02-04,38.805,40.0292,40.6977,38.805,2.6812,5540836,1.4111,57.3358,3.8265
2016-02-05,40.0668,39.7184,40.4717,39.3606,-0.7763,3260649,0.8304,56.8907,3.7968
2016-02-15,38.4189,40.4529,41.0179,38.2777,1.8492,4582320,1.167,57.9427,3.867
2016-02-16,40.4811,41.9313,42.1761,40.4811,3.6546,5114150,1.3025,60.0603,4.0084
2016-02-17,42.5433,43.2966,43.9087,41.9313,3.2562,7306312,1.8608,62.016,4.1389
2016-02-18,42.6846,42.7128,43.2872,41.903,-1.3484,4097125,1.0435,61.1798,4.0831
2016-02-19,42.3362,42.5433,43.0236,41.7712,-0.3968,5412437,1.3784,60.937,4.0669
2016-02-22,42.8917,42.6657,43.1177,42.0066,0.2877,4872694,1.241,61.1123,4.0786
2016-02-23,42.7128,41.5734,42.7128,41.3474,-2.5601,3396666,0.8651,59.5478,3.9742
2016-02-24,41.5829,41.5546,42.242,40.5094,-0.0453,3512686,0.8946,59.5208,3.9723
2016-02-25,41.5264,37.7221,41.5264,37.402,-9.2228,6224516,1.5853,54.0313,3.606
2016-02-26,38.2306,38.3342,38.6073,36.9594,1.6226,4916103,1.252,54.908,3.6645
2016-02-29,38.3248,35.6976,38.3248,34.6524,-6.8779,7291430,1.857,51.1315,3.4125
2016-03-01,35.7824,36.6675,37.4773,34.8407,2.717,5919617,1.5076,52.5207,3.5052
2016-03-02,36.6298,38.8239,39.3135,36.2626,5.8808,6620780,1.6862,55.6094,3.7113
2016-03-03,38.7579,38.3813,39.5489,38.3342,-1.1399,5649059,1.4387,54.9755,3.669
2016-03-04,38.1365,38.0705,38.9651,36.2249,-0.8096,5702262,1.4523,54.5304,3.6393
2016-03-07,37.6656,37.8822,38.5979,37.5715,-0.4947,4921090,1.2533,54.2606,3.6213
2016-03-08,37.7127,37.4302,37.7127,35.9895,-1.1931,3964503,1.0097,53.6132,3.5781
2016-03-09,36.6769,36.9594,38.1365,36.3473,-1.2579,3808905,0.9701,52.9388,3.5331
2016-03-10,36.9594,36.5262,37.1289,36.2343,-1.172,3232740,0.8233,52.3184,3.4917
2016-03-11,36.2532,36.6675,37.1948,35.7824,0.3867,3113277,0.7929,52.5207,3.5052
2016-03-14,37.1195,37.9764,38.5979,36.8182,3.5696,6310799,1.6072,54.3955,3.6303
2016-03-15,37.854,37.3078,38.0423,37.1006,-1.7605,3058928,0.779,53.4379,3.5664
2016-03-16,37.4773,36.837,37.5715,36.4415,-1.262,3675031,0.936,52.7635,3.5214
2016-03-17,37.0065,38.0988,38.8427,36.8652,3.4254,5923727,1.5087,54.5708,3.642
2016-03-18,38.1835,39.4077,39.7372,38.014,3.4355,5989595,1.5254,56.4456,3.7671
2016-03-21,40.048,40.4341,40.6601,39.4642,2.6045,6785171,1.728,57.9158,3.8652
2016-03-22,40.3022,40.6036,41.903,39.8032,0.4192,8637001,2.1997,58.1585,3.8814
2016-03-23,40.4906,40.5094,40.952,40.0197,-0.2319,5321023,1.3552,58.0237,3.8724
2016-03-24,40.4435,40.4717,41.2062,40.0386,-0.093,7700279,1.9611,57.9697,3.8688
2016-03-25,40.3022,41.2062,42.5151,40.1139,1.8148,10457024,2.6632,59.0217,3.939
2016-03-28,41.903,40.3587,42.242,40.1704,-2.0567,6686518,1.7029,57.8079,3.858
2016-03-29,40.0668,39.2664,40.4529,38.7014,-2.7065,3372294,0.8589,56.2433,3.7536
2016-03-30,39.6619,40.8013,40.9614,39.6619,3.9089,5273578,1.3431,58.4418,3.9003
2016-03-31,40.9614,40.9802,41.677,40.3964,0.4385,6468409,1.6474,58.698,3.8792
2016-04-01,40.613,40.3587,41.065,40.0292,-1.5165,3891426,0.9911,57.8079,3.8203
2016-04-05,40.3587,41.4322,41.8089,39.9256,2.6598,4395940,1.1196,59.3454,3.922
2016-04-06,41.2439,41.4134,41.7806,40.773,-0.0455,4827320,1.2294,59.3185,3.9202
2016-04-07,41.338,40.1139,41.5264,40.0009,-3.1378,6242744,1.5899,57.4572,3.7972
2016-04-08,39.6902,39.257,40.3022,38.1365,-2.1361,5055195,1.2875,56.2298,3.716
2016-04-11,39.5772,39.8973,40.5,39.5772,1.6311,5327605,1.3568,57.147,3.7767
2016-04-12,39.8314,39.596,40.2457,39.2758,-0.7553,3229133,0.8224,56.7154,3.7481
2016-04-13,39.8785,41.6582,42.1478,39.5772,5.2081,12189142,3.1043,59.6692,3.9433
2016-04-14,41.6205,42.4209,42.581,41.4322,1.8309,9321517,2.374,60.7616,4.0155
2016-04-15,42.2797,41.6017,42.8635,41.451,-1.9312,6196828,1.5782,59.5882,3.938
2016-04-18,41.338,40.7636,41.338,40.4717,-2.0145,3598889,0.9166,58.3878,3.8587
2016-04-19,41.1685,40.839,41.3851,40.3776,0.1848,3203304,0.8158,58.4957,3.8658
2016-04-20,40.8672,39.1346,41.5358,38.1365,-4.1734,7478789,1.9047,56.0545,3.7045
2016-04-21,38.9368,38.4943,39.2193,38.4189,-1.6362,3176727,0.809,55.1373,3.6438
2016-04-22,38.0423,38.5602,39.0593,37.9481,0.1712,2595995,0.6611,55.2317,3.6501
2016-04-25,38.2777,38.4001,38.7674,37.8728,-0.4151,2524214,0.6429,55.0024,3.6349
2016-04-26,38.1647,38.5979,38.7485,38.0611,0.515,2013168,0.5127,55.2857,3.6537
2016-04-27,38.7956,38.0517,38.9463,37.9387,-1.415,2473578,0.63,54.5034,3.602
2016-04-28,38.0423,37.402,38.3059,36.8652,-1.7075,5308937,1.3521,53.5728,3.5405
2016-04-29,37.1948,37.2419,37.5997,36.6487,-0.428,6938066,1.767,53.3435,3.5253
2016-05-03,37.2796,38.805,38.8804,36.9406,4.1972,5992772,1.5262,55.5824,3.6733
2016-05-04,38.5319,38.4284,38.7485,38.0611,-0.9706,3570661,0.9094,55.0429,3.6376
