date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,4.9361,4.518,4.9602,4.5019,-8.4691,29715728,0.5559,23.1788,1.6826
2016-01-05,4.4617,4.6145,4.6868,4.3251,2.1352,42177696,0.789,23.6737,1.7186
2016-01-06,4.6145,4.7672,4.7914,4.5823,3.3101,31470495,0.5887,24.4573,1.7755
2016-01-07,4.6708,4.4135,4.711,4.3814,-7.4199,7515600,0.1406,22.6426,1.6437
2016-01-08,4.5823,4.5341,4.5984,4.309,2.7322,29727929,0.5561,23.2613,1.6886
2016-01-11,4.4859,4.3251,4.5663,4.309,-4.6099,28648959,0.5359,22.1889,1.6108
2016-01-12,4.3492,4.317,4.3814,4.2527,-0.1859,19035623,0.3561,22.1477,1.6078
2016-01-13,4.3492,4.1804,4.3733,4.1723,-3.1657,16372218,0.3063,21.4466,1.5569
2016-01-14,4.0276,4.2367,4.2608,4.0276,1.3462,22159335,0.4145,21.7353,1.5779
2016-01-15,4.2125,4.0518,4.2447,4.0196,-4.3643,18965834,0.3548,20.7867,1.509
2016-01-18,3.9794,4.0437,4.108,3.9392,-0.1984,17085871,0.3196,20.7454,1.506
2016-01-19,4.0598,4.1643,4.1723,4.0116,2.9821,21149194,0.3956,21.3641,1.5509
2016-01-20,4.1482,4.1161,4.2367,4.0598,-1.1583,29693740,0.5554,21.1166,1.5329
2016-01-21,4.0437,3.9874,4.1161,3.9874,-3.125,19698099,0.3685,20.4567,1.485
2016-01-22,4.0357,4.0116,4.0518,3.9553,0.6048,14685560,0.2747,20.5804,1.494
2016-01-25,4.0357,4.0357,4.0678,4.0035,0.6012,10207923,0.1909,20.7042,1.503
2016-01-26,4.0035,3.6498,4.0116,3.6337,-9.5618,24304328,0.4546,18.7245,1.3593
2016-01-27,3.6659,3.5292,3.7061,3.3845,-3.304,28790953,0.5386,18.1058,1.3144
2016-01-28,3.497,3.3202,3.5935,3.28,-5.9225,22123658,0.4138,17.0335,1.2365
2016-01-29,3.3282,3.4488,3.4569,3.3121,3.8741,19590509,0.3665,17.6934,1.2844
2016-02-01,3.4408,3.497,3.5694,3.4167,1.3986,19793344,0.3703,17.9409,1.3024
2016-02-02,3.4729,3.5694,3.6016,3.4729,2.069,15746382,0.2945,18.3121,1.3294
2016-02-03,3.5212,3.5614,3.5855,3.497,-0.2252,11424310,0.2137,18.2708,1.3264
2016-02-04,3.5614,3.5855,3.6096,3.5614,0.6772,13004635,0.2433,18.3945,1.3353
2016-02-05,3.5935,3.5453,3.6096,3.5372,-1.1211,9269917,0.1734,18.1883,1.3204
2016-02-15,3.4247,3.5131,3.5292,3.4167,-0.907,8630159,0.1614,18.0234,1.3084
2016-02-16,3.5292,3.6418,3.6418,3.5292,3.6613,17141168,0.3206,18.6833,1.3563
2016-02-17,3.6418,3.6819,3.69,3.6176,1.1037,18304137,0.3424,18.8895,1.3713
2016-02-18,3.7061,3.6578,3.7302,3.6578,-0.655,19192330,0.359,18.7657,1.3623
2016-02-19,3.6418,3.6498,3.69,3.6337,-0.2198,11601630,0.217,18.7245,1.3593
2016-02-22,3.69,3.7623,3.7865,3.6739,3.0837,22801196,0.4265,19.3019,1.4012
2016-02-23,3.7704,3.7302,3.7704,3.69,-0.8547,18585452,0.3477,19.1369,1.3892
2016-02-24,3.698,3.7945,3.8106,3.69,1.7241,24646751,0.461,19.4669,1.4132
2016-02-25,3.7865,3.4729,3.8025,3.4247,-8.4746,27764497,0.5194,17.8171,1.2934
2016-02-26,3.5372,3.5051,3.5533,3.4247,0.9259,20958737,0.392,17.9821,1.3054
2016-02-29,3.5051,3.3363,3.5051,3.2237,-4.8165,23007898,0.4304,17.116,1.2425
2016-03-01,3.3604,3.3925,3.4006,3.3041,1.6867,14541472,0.272,17.4047,1.2635
2016-03-02,3.3845,3.5855,3.6016,3.3765,5.6872,28455745,0.5323,18.3945,1.3353
2016-03-03,3.5694,3.5694,3.6257,3.5533,-0.4484,27996547,0.5237,18.3121,1.3294
2016-03-04,3.5774,3.5935,3.6578,3.5453,0.6757,34046608,0.6369,18.4358,1.3383
2016-03-07,3.6016,3.6096,3.6659,3.5774,0.4474,22262990,0.4164,18.5183,1.3443
2016-03-08,3.6176,3.5774,3.6176,3.4488,-0.8909,20980021,0.3924,18.3533,1.3323
2016-03-09,3.5292,3.489,3.5292,3.4649,-2.4719,12843257,0.2402,17.8996,1.2994
2016-03-10,3.5051,3.4488,3.5131,3.4488,-1.1521,11668293,0.2183,17.6934,1.2844
2016-03-11,3.4247,3.4569,3.481,3.4167,0.2331,9732520,0.1821,17.7347,1.2874
2016-03-14,3.4729,3.5614,3.5935,3.4729,3.0232,17695956,0.331,18.2708,1.3264
2016-03-15,3.5694,3.5292,3.5694,3.497,-0.9029,10783805,0.2017,18.1058,1.3144
2016-03-16,3.5292,3.497,3.5533,3.497,-0.9112,9535453,0.1784,17.9409,1.3024
2016-03-17,3.5131,3.5694,3.5774,3.5051,2.069,16500323,0.3087,18.3121,1.3294
2016-03-18,3.5694,3.6418,3.6659,3.5614,2.027,38144591,0.7135,18.6833,1.3563
2016-03-21,3.6819,3.7623,3.7704,3.6578,3.3112,37653541,0.7043,19.3019,1.4012
2016-03-22,3.7543,3.7061,3.7945,3.7061,-1.4957,27572155,0.5158,19.0132,1.3802
2016-03-23,3.7141,3.8508,3.8508,3.698,3.9046,55236402,1.0332,19.7556,1.4341
2016-03-24,3.8025,3.7784,3.8267,3.7543,-1.8789,26965331,0.5044,19.3844,1.4072
2016-03-25,3.7382,3.7623,3.7865,3.7382,-0.4255,15426371,0.2886,19.3019,1.4012
2016-03-28,3.7623,3.7623,3.8025,3.7141,0.0,18602829,0.348,19.3019,1.4012
2016-03-29,3.7623,3.7543,3.7704,3.6337,-0.2137,25869597,0.4839,19.2607,1.3982
2016-03-30,3.8025,3.8186,3.8186,3.7543,1.7131,20321060,0.3801,19.5906,1.4222
2016-03-31,3.8186,3.7865,3.8347,3.7784,-0.8421,18781947,0.3513,19.4256,1.3865
2016-04-01,3.7945,3.7382,3.7945,3.698,-1.2739,14444294,0.2702,19.1782,1.3689
2016-04-05,3.7382,3.8186,3.8267,3.7221,2.1505,19124080,0.3577,19.5906,1.3983
2016-04-06,3.7945,3.8106,3.8186,3.7784,-0.2105,16484413,0.3084,19.5494,1.3954
2016-04-07,3.8267,3.7945,3.8829,3.7865,-0.4219,25109642,0.4697,19.4669,1.3895
2016-04-08,3.7623,3.7302,3.7784,3.69,-1.6949,15848645,0.2965,19.1369,1.3659
2016-04-11,3.7543,3.7945,3.8106,3.7463,1.7241,15233970,0.285,19.4669,1.3895
2016-04-12,3.7865,3.7463,3.7945,3.7221,-1.2712,12976076,0.2427,19.2194,1.3718
2016-04-13,3.7704,3.8106,3.8427,3.7543,1.7167,27329935,0.5112,19.5494,1.3954
2016-04-14,3.8347,3.8427,3.8508,3.7945,0.8439,20309376,0.3799,19.7143,1.4071
2016-04-15,3.8347,3.8186,3.8508,3.7945,-0.6276,17752873,0.3321,19.5906,1.3983
2016-04-18,3.8025,3.7463,3.8025,3.7302,-1.8947,16598237,0.3105,19.2194,1.3718
2016-04-19,3.7623,3.7463,3.7704,3.7141,0.0,10709036,0.2003,19.2194,1.3718
2016-04-20,3.7463,3.5855,3.7543,3.5051,-4.2918,29219069,0.5466,18.3945,1.3129
2016-04-21,3.5614,3.5533,3.6176,3.5533,-0.8969,11550975,0.2161,18.2296,1.3012
2016-04-22,3.5453,3.5774,3.5935,3.5212,0.6787,10204784,0.1909,18.3533,1.31
2016-04-25,3.5855,3.6418,3.7141,3.5453,1.7978,17023337,0.3184,18.6833,1.3335
2016-04-26,3.6176,3.6498,3.698,3.6016,0.2207,7659867,0.1433,18.7245,1.3365
2016-04-27,3.6257,3.6176,3.6659,3.6176,-0.8811,6600049,0.1235,18.5595,1.3247
2016-04-28,3.6337,3.5855,3.6337,3.5292,-0.8889,9600540,0.1796,18.3945,1.3129
2016-04-29,3.5774,3.5774,3.5935,3.5614,-0.2242,5509937,0.1031,18.3533,1.31
2016-05-03,3.5855,3.7784,3.7865,3.5614,5.618,33061957,0.6185,19.3844,1.3836
2016-05-04,3.7623,3.7543,3.7945,3.7463,-0.6383,14098114,0.2637,19.2607,1.3747
2016-05-05,3.7623,3.7543,3.7784,3.7141,0.0,9296466,0.1739,19.2607,1.3747
2016-05-06,3.7463,3.6337,3.7704,3.6337,-3.212,16097901,0.3011,18.642,1.3306
2016-05-09,3.6418,3.5694,3.6498,3.5614,-1.7699,15709458,0.2939,18.3121,1.307
2016-05-10,3.5614,3.6176,3.6176,3.5614,1.3514,9039235,0.1691,18.5595,1.3247
2016-05-11,3.6176,3.6337,3.6498,3.5935,0.4444,8419578,0.1575,18.642,1.3306
2016-05-12,3.6257,3.7141,3.7141,3.5614,2.2124,16473410,0.3081,19.0544,1.36
2016-05-13,3.69,3.7141,3.7463,3.6659,0.0,12019132,0.2248,19.0544,1.36
2016-05-16,3.7945,3.7463,3.7945,3.698,0.8658,12896166,0.2412,19.2194,1.3718
2016-05-17,3.7463,3.6819,3.7463,3.6819,-1.7167,6993939,0.1308,18.8895,1.3483
2016-05-18,3.6578,3.8186,3.8186,3.5855,3.7118,33571927,0.628,19.5906,1.3983
2016-05-19,3.7865,3.7704,3.8106,3.7463,-1.2632,26282659,0.4916,19.3431,1.3806
2016-05-20,3.7382,3.7623,3.7784,3.7221,-0.2132,11870983,0.2221,19.3019,1.3777
2016-05-23,3.7623,3.7543,3.7865,3.7382,-0.2137,13783590,0.2578,19.2607,1.3747
2016-05-24,3.7623,3.7141,3.7623,3.69,-1.0707,13222732,0.2473,19.0544,1.36
2016-05-25,3.7221,3.7382,3.7543,3.7061,0.6494,10203283,0.1909,19.1782,1.3689
2016-05-26,3.7382,3.7221,3.7382,3.6418,-0.4301,9712789,0.1817,19.0957,1.363
2016-05-27,3.7302,3.7061,3.7302,3.6819,-0.432,5604641,0.1048,19.0132,1.3571
2016-05-30,3.698,3.698,3.7061,3.6498,-0.2169,6327658,0.1184,18.972,1.3541
2016-05-31,3.6819,3.8025,3.8025,3.6819,2.8261,20870914,0.3904,19.5081,1.3924
2016-06-01,3.8106,3.7704,3.8106,3.7623,-0.8457,13460455,0.2518,19.3431,1.3806
2016-06-02,3.7623,3.7784,3.7865,3.7543,0.2132,11201635,0.2095,19.3844,1.3836
2016-06-03,3.7784,3.7865,3.8025,3.7382,0.2128,15834026,0.2962,19.4256,1.3865
2016-06-06,3.8025,3.7865,3.8025,3.7543,0.0,10076298,0.1885,19.4256,1.3865
2016-06-07,3.7704,3.7463,3.7865,3.7382,-1.0616,9972659,0.1865,19.2194,1.3718
2016-06-08,3.7543,3.7382,3.7623,3.7221,-0.2146,8803527,0.1647,19.1782,1.3689
2016-06-13,3.69,3.6337,3.7141,3.6337,-2.7957,14192502,0.2655,18.642,1.3306
2016-06-14,3.6176,3.6337,3.6418,3.6096,0.0,6787691,0.127,18.642,1.3306
2016-06-15,3.6016,3.6739,3.6819,3.5935,1.1062,8250574,0.1543,18.8482,1.3453
2016-06-16,3.6659,3.7302,3.7784,3.6257,1.5317,22733127,0.4252,19.1369,1.3659
2016-06-17,3.7061,3.7221,3.8025,3.7061,-0.2155,15285065,0.2859,19.0957,1.363
2016-06-20,3.7061,3.69,3.7221,3.6659,-0.8639,7965828,0.149,18.9307,1.3512
2016-06-21,3.7141,3.6819,3.7382,3.6819,-0.2179,8961366,0.1676,18.8895,1.3483
2016-06-22,3.6739,3.7141,3.7141,3.6739,0.8734,5254365,0.0983,19.0544,1.36
2016-06-23,3.7141,3.6659,3.7141,3.6257,-1.2987,8680847,0.1624,18.807,1.3424
